 17 |  2.8  2.4  2.0  1.5  1.0  0.4  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.5  1.1  1.6  2.0  2.4  2.8  3.2  3.5  3.9  4.2  4.4  4.7  4.9  5.2  5.3  5.5  5.6  5.8  5.9  6.0  6.0  6.1  6.1  6.1  6.1  6.1  6.0  6.0  5.9  5.8  5.6  5.4  5.2  5.1  4.9  4.7  4.4  4.1  3.9  3.5  3.2
 15 |  2.8  2.4  1.9  1.5  1.0  0.3  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.4  1.0  1.5  2.0  2.4  2.8  3.2  3.5  3.9  4.2  4.4  4.7  4.9  5.2  5.3  5.5  5.6  5.8  5.9  6.0  6.0  6.1  6.1  6.1  6.1  6.1  6.0  6.0  5.9  5.8  5.6  5.4  5.3  5.1  4.9  4.7  4.4  4.1  3.8  3.4  3.2
 13 |  2.7  2.3  1.9  1.4  0.9  0.2  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.3  1.0  1.5  2.0  2.4  2.8  3.2  3.5  3.9  4.1  4.4  4.7  4.9  5.2  5.3  5.5  5.6  5.8  5.9  6.0  6.0  6.1  6.1  6.1  6.1  6.1  6.0  6.0  5.9  5.8  5.6  5.4  5.2  5.1  4.9  4.6  4.4  4.1  3.8  3.4  3.1
 11 |  2.7  2.3  1.9  1.4  0.9  0.1  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.2  0.9  1.4  1.9  2.3  2.7  3.1  3.4  3.8  4.1  4.4  4.7  4.9  5.1  5.3  5.5  5.6  5.8  5.9  6.0  6.0  6.1  6.1  6.1  6.1  6.1  6.0  6.0  5.9  5.8  5.6  5.4  5.2  5.1  4.9  4.6  4.4  4.1  3.8  3.4  3.1
  9 |  2.7  2.3  1.8  1.3  0.8  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.1  0.9  1.4  1.9  2.3  2.7  3.1  3.4  3.8  4.1  4.4  4.6  4.9  5.1  5.2  5.4  5.6  5.8  5.9  6.0  6.0  6.1  6.1  6.1  6.1  6.1  6.0  6.0  5.9  5.8  5.6  5.4  5.2  5.1  4.9  4.6  4.3  4.1  3.8  3.4  3.1
  7 |  2.7  2.2  1.8  1.3  0.7  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.8  1.4  1.8  2.3  2.7  3.1  3.4  3.8  4.1  4.4  4.6  4.9  5.1  5.2  5.4  5.6  5.8  5.9  6.0  6.0  6.1  6.1  6.1  6.1  6.1  6.0  6.0  5.9  5.7  5.6  5.4  5.2  5.1  4.8  4.6  4.3  4.0  3.8  3.4  3.1
  5 |  2.6  2.2  1.7  1.2  0.6  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.7  1.3  1.8  2.3  2.7  3.1  3.4  3.8  4.0  4.3  4.6  4.8  5.1  5.2  5.4  5.6  5.7  5.9  6.0  6.0  6.0  6.1  6.1  6.1  6.0  6.0  6.0  5.9  5.7  5.6  5.4  5.2  5.1  4.8  4.6  4.3  4.0  3.6  3.3  2.9
  3 |  2.6  2.1  1.7  1.2  0.6  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.7  1.2  1.7  2.2  2.6  2.9  3.3  3.6  4.0  4.3  4.6  4.8  5.1  5.2  5.4  5.6  5.7  5.8  6.0  6.0  6.0  6.0  6.1  6.0  6.0  6.0  5.9  5.8  5.7  5.5  5.4  5.2  5.0  4.8  4.5  4.3  4.0  3.6  3.3  2.9
  1 |  2.6  2.1  1.6  1.1  0.5  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.6  1.2  1.7  2.1  2.6  2.9  3.3  3.6  4.0  4.3  4.5  4.8  5.0  5.2  5.3  5.5  5.7  5.8  5.9  6.0  6.0  6.0  6.0  6.0  6.0  6.0  5.9  5.8  5.7  5.5  5.3  5.2  5.0  4.8  4.5  4.2  3.9  3.6  3.3  2.9
 -1 |  2.4  2.0  1.6  1.0  0.4  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.5  1.1  1.6  2.1  2.6  2.9  3.3  3.6  3.9  4.2  4.5  4.7  5.0  5.2  5.3  5.5  5.6  5.8  5.9  6.0  6.0  6.0  6.0  6.0  6.0  6.0  5.9  5.8  5.6  5.5  5.3  5.2  5.0  4.7  4.5  4.2  3.9  3.5  3.2  2.8
 -3 |  2.4  2.0  1.5  1.0  0.3  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.4  1.0  1.6  2.0  2.4  2.8  3.2  3.5  3.9  4.2  4.4  4.7  4.9  5.2  5.3  5.4  5.6  5.7  5.8  5.9  6.0  6.0  6.0  6.0  6.0  5.9  5.8  5.7  5.6  5.4  5.2  5.1  4.9  4.7  4.4  4.1  3.9  3.5  3.2  2.8
 -5 |  2.3  1.9  1.4  0.9  0.2  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.3  1.0  1.5  2.0  2.4  2.8  3.2  3.5  3.9  4.1  4.4  4.7  4.9  5.1  5.2  5.4  5.5  5.7  5.8  5.9  5.9  6.0  6.0  6.0  5.9  5.9  5.8  5.7  5.5  5.4  5.2  5.1  4.9  4.6  4.4  4.1  3.8  3.4  3.1  2.7
 -7 |  2.3  1.9  1.4  0.8  0.1  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.2  0.9  1.4  1.9  2.3  2.7  3.1  3.4  3.8  4.1  4.3  4.6  4.8  5.0  5.2  5.3  5.5  5.6  5.7  5.8  5.9  5.9  5.9  5.9  5.9  5.8  5.7  5.6  5.5  5.3  5.2  5.0  4.8  4.6  4.3  4.1  3.8  3.4  3.1  2.7
 -9 |  2.3  1.8  1.3  0.8  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.1  0.9  1.4  1.9  2.3  2.7  3.1  3.4  3.8  4.0  4.3  4.5  4.8  5.0  5.2  5.3  5.4  5.6  5.7  5.7  5.8  5.8  5.9  5.8  5.8  5.7  5.6  5.5  5.4  5.2  5.2  5.0  4.7  4.5  4.3  4.0  3.6  3.3  3.1  2.7
-11 |  2.2  1.7  1.3  0.7  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.8  1.3  1.8  2.3  2.6  2.9  3.3  3.6  4.0  4.2  4.5  4.7  4.9  5.1  5.2  5.3  5.5  5.6  5.7  5.7  5.8  5.8  5.8  5.7  5.7  5.6  5.5  5.3  5.2  5.1  4.9  4.7  4.5  4.2  3.9  3.6  3.3  2.9  2.6
-13 |  2.1  1.7  1.2  0.6  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.7  1.3  1.7  2.2  2.6  2.9  3.3  3.5  3.9  4.2  4.4  4.6  4.9  5.0  5.2  5.3  5.4  5.5  5.6  5.7  5.7  5.7  5.7  5.7  5.6  5.5  5.4  5.3  5.2  5.0  4.8  4.6  4.4  4.1  3.9  3.5  3.2  2.9  2.6
-15 |  2.1  1.6  1.1  0.5  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.6  1.2  1.7  2.1  2.6  2.8  3.2  3.5  3.9  4.1  4.3  4.6  4.8  5.0  5.1  5.2  5.3  5.4  5.5  5.6  5.6  5.6  5.6  5.6  5.5  5.4  5.3  5.2  5.1  5.0  4.8  4.5  4.3  4.1  3.8  3.5  3.2  2.8  2.4
-17 |  2.0  1.5  1.0  0.4  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.5  1.1  1.6  2.0  2.4  2.8  3.2  3.4  3.8  4.0  4.3  4.5  4.7  4.9  5.1  5.2  5.2  5.3  5.4  5.5  5.5  5.5  5.5  5.5  5.4  5.3  5.2  5.2  5.0  4.9  4.7  4.5  4.2  4.0  3.8  3.4  3.1  2.7  2.4
-19 |  1.9  1.5  1.0  0.3  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.4  1.0  1.5  2.0  2.3  2.7  3.1  3.4  3.6  4.0  4.2  4.4  4.6  4.8  5.0  5.1  5.2  5.3  5.3  5.4  5.4  5.4  5.4  5.4  5.3  5.2  5.2  5.1  5.0  4.8  4.6  4.4  4.2  3.9  3.6  3.3  3.1  2.7  2.3
-21 |  1.8  1.4  0.9  0.2  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.3  1.0  1.5  1.9  2.3  2.7  2.9  3.3  3.5  3.9  4.1  4.3  4.5  4.7  4.9  5.0  5.2  5.2  5.2  5.3  5.3  5.3  5.3  5.3  5.2  5.2  5.1  5.0  4.9  4.7  4.5  4.3  4.1  3.9  3.5  3.3  2.9  2.6  2.3
-23 |  1.8  1.3  0.8  0.1  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.2  0.9  1.4  1.8  2.2  2.6  2.9  3.2  3.5  3.8  4.0  4.2  4.4  4.6  4.8  4.9  5.1  5.2  5.2  5.2  5.2  5.2  5.2  5.2  5.2  5.1  5.0  4.9  4.8  4.6  4.4  4.2  4.0  3.8  3.4  3.2  2.8  2.6  2.2
-25 |  1.7  1.2  0.7  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.1  0.8  1.3  1.7  2.1  2.4  2.8  3.2  3.4  3.6  4.0  4.2  4.4  4.5  4.7  4.8  4.9  5.0  5.1  5.2  5.2  5.2  5.2  5.2  5.1  5.0  4.9  4.8  4.7  4.5  4.3  4.1  3.9  3.6  3.4  3.1  2.8  2.4  2.1
-27 |  1.6  1.2  0.6  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.7  1.2  1.6  2.1  2.4  2.7  3.1  3.3  3.5  3.9  4.1  4.3  4.4  4.6  4.7  4.8  4.9  5.0  5.1  5.1  5.1  5.1  5.1  5.0  4.9  4.8  4.7  4.6  4.4  4.2  4.0  3.8  3.5  3.3  2.9  2.7  2.3  2.0
-29 |  1.5  1.1  0.6  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.6  1.1  1.6  2.0  2.3  2.7  2.9  3.2  3.5  3.8  4.0  4.2  4.3  4.5  4.6  4.7  4.8  4.9  4.9  5.0  5.0  5.0  4.9  4.9  4.8  4.7  4.6  4.5  4.3  4.1  3.9  3.6  3.4  3.2  2.9  2.6  2.3  1.9
-31 |  1.4  1.0  0.4  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.5  1.0  1.5  1.9  2.3  2.6  2.8  3.2  3.4  3.6  3.9  4.1  4.2  4.4  4.5  4.6  4.7  4.8  4.8  4.9  4.9  4.9  4.8  4.8  4.7  4.6  4.5  4.3  4.2  4.0  3.8  3.6  3.3  3.1  2.8  2.6  2.2  1.8
-33 |  1.3  0.9  0.3  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.4  0.9  1.4  1.8  2.1  2.4  2.7  3.1  3.3  3.5  3.8  3.9  4.1  4.3  4.4  4.5  4.6  4.6  4.7  4.7  4.7  4.7  4.7  4.6  4.6  4.5  4.4  4.2  4.1  3.9  3.6  3.5  3.3  2.9  2.7  2.4  2.1  1.7
-35 |  1.2  0.8  0.2  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.3  0.9  1.3  1.7  2.0  2.3  2.7  2.9  3.2  3.4  3.6  3.8  4.0  4.1  4.3  4.4  4.4  4.5  4.6  4.6  4.6  4.6  4.6  4.5  4.4  4.3  4.2  4.1  4.0  3.8  3.5  3.4  3.2  2.9  2.6  2.3  2.0  1.6
-37 |  1.2  0.7  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.2  0.8  1.2  1.6  1.9  2.3  2.6  2.8  3.1  3.3  3.5  3.6  3.9  4.0  4.1  4.2  4.3  4.4  4.4  4.5  4.5  4.5  4.4  4.4  4.3  4.2  4.1  4.0  3.9  3.6  3.4  3.3  3.1  2.8  2.6  2.2  1.9  1.5
-39 |  1.0  0.6  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.6  1.1  1.5  1.8  2.1  2.4  2.7  2.9  3.2  3.3  3.5  3.8  3.9  4.0  4.1  4.2  4.2  4.3  4.3  4.3  4.3  4.3  4.2  4.2  4.1  4.0  3.9  3.6  3.5  3.3  3.2  2.9  2.7  2.4  2.1  1.8  1.4
-41 |  0.9  0.5  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.5  1.0  1.4  1.7  2.0  2.3  2.6  2.8  3.1  3.2  3.4  3.5  3.8  3.9  4.0  4.0  4.1  4.2  4.2  4.2  4.2  4.1  4.1  4.0  4.0  3.9  3.6  3.5  3.4  3.2  2.9  2.8  2.6  2.3  2.0  1.7  1.3
-43 |  0.8  0.3  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.4  0.9  1.3  1.6  1.9  2.2  2.4  2.7  2.9  3.1  3.3  3.4  3.5  3.6  3.8  3.9  4.0  4.0  4.0  4.0  4.0  4.0  4.0  3.9  3.8  3.6  3.5  3.4  3.3  3.1  2.8  2.7  2.4  2.2  1.9  1.6  1.2
-45 |  0.7  0.2  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.3  0.8  1.2  1.5  1.8  2.1  2.3  2.6  2.8  2.9  3.2  3.3  3.4  3.5  3.6  3.8  3.8  3.9  3.9  3.9  3.9  3.9  3.8  3.8  3.6  3.5  3.4  3.3  3.1  2.9  2.7  2.6  2.3  2.0  1.8  1.4  1.1
-47 |  0.6  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.1  0.6  1.0  1.4  1.7  1.9  2.2  2.4  2.6  2.8  2.9  3.2  3.3  3.4  3.5  3.5  3.6  3.6  3.6  3.6  3.6  3.6  3.6  3.5  3.4  3.4  3.3  3.1  2.9  2.8  2.6  2.4  2.2  1.9  1.6  1.3  1.0
-49 |  0.5  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.5  0.9  1.2  1.5  1.8  2.1  2.3  2.4  2.7  2.8  2.9  3.1  3.2  3.3  3.4  3.4  3.5  3.5  3.5  3.5  3.5  3.4  3.4  3.3  3.2  3.1  2.9  2.8  2.7  2.4  2.3  2.0  1.8  1.5  1.2  0.9
-51 |  0.3  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.4  0.8  1.1  1.4  1.7  1.9  2.1  2.3  2.6  2.7  2.8  2.9  3.1  3.2  3.2  3.3  3.3  3.3  3.3  3.3  3.3  3.3  3.2  3.2  3.1  2.9  2.8  2.7  2.4  2.3  2.1  1.9  1.6  1.4  1.1  0.7
-53 |  0.1  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.2  0.6  1.0  1.3  1.5  1.8  2.0  2.2  2.3  2.6  2.7  2.8  2.8  2.9  3.1  3.1  3.2  3.2  3.2  3.2  3.2  3.1  3.1  2.9  2.8  2.8  2.7  2.4  2.3  2.2  2.0  1.7  1.5  1.2  0.9  0.6
-55 |  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.5  0.8  1.1  1.4  1.6  1.8  2.0  2.2  2.3  2.4  2.6  2.7  2.8  2.8  2.9  2.9  2.9  2.9  2.9  2.9  2.9  2.8  2.8  2.7  2.6  2.4  2.3  2.2  2.0  1.8  1.6  1.4  1.1  0.8  0.4
-57 |  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.3  0.7  1.0  1.2  1.5  1.7  1.9  2.0  2.2  2.3  2.4  2.6  2.6  2.7  2.7  2.8  2.8  2.8  2.8  2.8  2.7  2.7  2.6  2.6  2.4  2.3  2.2  2.0  1.8  1.6  1.4  1.2  0.9  0.6  0.3
